"Zeitstempel","Welchem Geschlecht gehörst du an?","Ich würde sagen, ich interessiere mich für Politik","Ich mache mir Gedanken darüber, wie ich Probleme in meinem Umfeld lösen kann","Ich interessiere mich für Wahlen (regional; auf Bundesebene; international)","Mich interessiert die Arbeit der Bundesregierung","Mich interessieren Nachrichtenbeiträge über Politik (Befragungen, politische Krisen, (Wahl)-Analysen...)","These: ""Die Entscheidungen von Politikern haben einen großen Einfluss auf mein Leben. Ich sollte mich deshalb über politische Entscheidungen informieren und selbst politisch aktiv sein. ""(z.B. Demonstrationen, Petitionen, Gespräche mit Mitmenschen)","These: ""Ich überlasse die Beschäftigung mit politischen Problemen lieber den Politikern.""","Wenn morgen Bundestagswahl wäre, und du wählen dürftest: wie wahrscheinlich wäre es, dass du deine Stimme abgibst?","Wer ist in Deutschland berechtigt, die Bundestagsabgeordneten zu wählen?","Wer ist der ranghöchste Repräsentant der Bundesrepublik Deutschland?","Auf wie viele Jahre werden die Bundestagabgeordneten gewählt?","Kreuze die Institutionen an, die bei dem Gesetzgebungsprozess von der Initiative bis zur Gegenzeichnung beteiligt sind / sein können.","Welche von diesen Aufgaben haben die Landesregierungen?","Wie werden die Richter des Bundesverfassungsgerichts gewählt und auf welche Zeit?","Wer war von 2005 bis 2021 Bundeskanzler der BRD","Wer wählt den Bundespräsidenten?","Wer wählt den Bundestagspräsidenten?","Wer ist aktuell Bundespräsident?","Kreuze die Aufgaben an, die der Bundespräsident hat.","Kreuze die Aufgaben des Bundesverfassungsgerichts an.","Kreuze die Aufgaben des Bundeskanzlers an.","Kreuze die Aufgaben an, die der Bundestag hat.","Kreuze die Aufgaben an, die der Bundesrat hat.","Nach welchem Prinzip ist das politische System auf Bundesebene aufgebaut?","Welche der genannten Themen hast du im Sozialkundeunterricht bisher behandelt?","Für welches dieser Themen hast du dich am meisten interessiert?","Wieso hast du dich für dieses Thema am meisten interessiert?","Würdest du sagen, dass du insgesamt an bisher behandelten Themen interessiert warst?","Wenn du angegeben hast uninteressiert zu sein, woran könnte dies deiner Meinung nach liegen?","Über welche anderen Themen hättest du in Sozialkunde gerne ausführlicher gesprochen?","Bitte gib an, für welches dieser politischen Themen du dich allgemein interessierst.","Welche anderen Themen hattest du dir im Zusammenhang mit dem Sozialkundeunterricht an deiner Schule gewünscht? ","Denkst du, dass man das Interesse an Politik innerhalb der Klasse steigern könnte, wenn man auf persönliche Interessen der Schüler mehr eingehen würde?","Fühlst du dich auf deine politische Aktivität (z.B. wählen gehen) in Zukunft durch den Politikunterricht in der Schule gut vorbereitet?","Falls nein, bitte gib an, woran es liegen könnte, dass du dich unvorbereitet fühlst.","Denkst du, dass es bei deiner zukünftigen Wahlentscheidung nötig sein wird, sich über das politische System Deutschlands erneut zu informieren? (Trotz des Sozialkundeunterrichts)","Denkst du, dass der Politikunterricht an deiner Schule dein Interesse an Politik gestärkt hat?"
"2022/06/23 9:46:38 AM OEZ","Weiblich","1","2","1","1","2","2","5","3","Jeder volljährige Bürger mit einer deutschen Staatsbürgerschaft","Der Bundeskanzler","6 Jahre","Bundespräsident;Bundesregierung;Bundeskanzler;Bundestag","Sie ernennen den Präsidenten des Bundesverfassungsgerichtes","Vom Bundestag mit 50% Mehrheit auf 4 Jahre","Angela Merkel","Die Bundesversammlung","Der Bundespräsident bestimmt ihn","Olaf Scholz","Ernennt/ Entlässt Richter des Bundesverfassungsgerichts;Ernennt den Bundeskanzler;Löst den Bundestag auf","Höchstes Gericht in Deutschland;Prüft Gesetze auf potentielle Verfassungswidrigkeit","Vorsitz des Bundestages;Vorsitz der Bundesregierung;Ernennen der Bundesminister","Entscheidung über Bundeshaushalt;Kontrolle der Regierung;Wahl des Bundeskanzlers","Gesetzesinitiative;Mitwirken in auswärtigen Angelegenheiten;Abwahl des Bundeskanzlers","Kanzler,-Zentral,-Abgeordnetenprinzip","wir haben noch kein sozialkunde","/","/","Nein, eher uninteressiert","Ich bin allgemein uninteressiert an Politik","/","Kriege und Konflikte","/","Vielleicht","Nein, Ich bin nicht vorbereitet z.B. eine Wahlentscheidung zu treffen","/","Ja, wahrscheinlich","Neutral"
"2022/06/23 9:46:40 AM OEZ","Männlich","4","5","5","4","5","5","2","4","Jeder volljährige Bürger mit einer deutschen Staatsbürgerschaft","Der Bundeskanzler","4 Jahre","Bundesregierung","Sie ernennen den Präsidenten des Bundesverfassungsgerichtes","Vom Bundesrat mit 2/3 Mehrheit auf 6 Jahre","Angela Merkel","Der Bundestag","Der Bundespräsident bestimmt ihn","Frank-Walter Steinmeier","Ernennt/ Entlässt Richter des Bundesverfassungsgerichts","Höchstes Gericht in Deutschland","Vorsitz der Bundesregierung","Kontrolle der Regierung","Mitwirken in auswärtigen Angelegenheiten","Kanzler,-Zentral,-Abgeordnetenprinzip","/","Kriege und Konflikte","Um mein Wissen in neuen Konflikten anwenden zu können ","Ja, eher interessiert","Unterrichtsgestaltung zu monoton","","Politische Prozesse außerhalb Deutschlands","","Ja, definitiv","Ja, Ich fühle mich ausreichend vorbereitet","","Ja, definitiv","Neutral"
"2022/06/23 9:48:59 AM OEZ","Männlich","2","4","2","2","3","3","4","3","Jeder volljährige Bürger mit einer deutschen Staatsbürgerschaft","Der Bundeskanzler","4 Jahre","Bundesregierung;Bundesversammlung","Sie ernennen den Präsidenten des Bundesverfassungsgerichtes","Vom Bundestag mit 50% Mehrheit auf 4 Jahre","Angela Merkel","Der Bundestag","Der Bundesrat","Olaf Scholz","Fertigt Gesetze aus","Höchstes Gericht in Deutschland","Vorsitz des Bundestages;Vorsitz der Bundesregierung","Kontrolle der Regierung;Wahl des Bundeskanzlers","Abwahl des Bundeskanzlers","Kanzler,-Zentral,-Abgeordnetenprinzip","Demokratie und Politik allgemein (z.B. Was hat Politik mit Schule zu tun?)","Demokratie und Politik allgemein (z.B. Was hat Politik mit Schule zu tun?)","Demokratie","Neutral","Ich bin allgemein uninteressiert an Politik","","Wahlen in Deutschland;Kriege und Konflikte","","Vielleicht","Ja, Ich fühle mich ausreichend vorbereitet","","Ja, wahrscheinlich","Neutral"
"2022/06/23 9:49:31 AM OEZ","Weiblich","3","4","2","2","3","2","4","5","Jeder volljährige Bürger mit einer deutschen Staatsbürgerschaft","Der Bundeskanzler","6 Jahre","Bundespräsident;Bundesverfassungsgericht;Bundesregierung;Bundeskanzler;Bundestag;Bundesrat","Sie ernennen die Kabinettsmitglieder des Bundsrates","Vom Bundestag mit 50% Mehrheit auf 4 Jahre","Angela Merkel","Die Bundesversammlung","Der Bundesrat","Frank-Walter Steinmeier","Vorschlagen der Bundesminister","Höchstes Gericht in Deutschland;Prüft Gesetze auf potentielle Verfassungswidrigkeit","Vorsitz des Bundestages;Vorsitz der Bundesregierung","Kontrolle der Regierung;Wahl des Bundeskanzlers","Mitwirken in auswärtigen Angelegenheiten","Kanzler,-Zentral,-Abgeordnetenprinzip","8. Klasse","Demokratie und Politik allgemein (z.B. Was hat Politik mit Schule zu tun?)","Auswirkungen der Politik ","Neutral","","8. Klasse","Verfassung der BRD;Das Entstehen einer Diktatur","8. Klasse","Ja, definitiv","Nein, Ich bin nicht vorbereitet z.B. eine Wahlentscheidung zu treffen","8. Klasse","Ja, wahrscheinlich","Neutral"
"2022/06/23 9:50:32 AM OEZ","Weiblich","3","4","1","1","1","3","5","5","Jeder volljährige Bürger mit einer deutschen Staatsbürgerschaft","Der Bundeskanzler","4 Jahre","Bundespräsident;Bundesverfassungsgericht;Bundeskanzler","Sie ernennen die Kabinettsmitglieder des Bundsrates","Vom Bundestag mit 50% Mehrheit auf 4 Jahre","Angela Merkel","Der Bundestag","Der Bundestag","Olaf Scholz","Ernennt/ Entlässt Richter des Bundesverfassungsgerichts","Prüft Gesetze auf potentielle Verfassungswidrigkeit","Gegenzeichnung von Gesetzen;Vorsitz der Bundesregierung","Entscheidung über Bundeshaushalt;Kontrolle der Regierung","Mitwirken in auswärtigen Angelegenheiten","Kanzler,-Zentral,-Abgeordnetenprinzip","noch kein sozialkunde","Umweltschutz als politisches Problem","weil es wichtig ist","Neutral","Unterrichtsinhalte nicht aktuell genug;Unterrichtsgestaltung zu monoton","","Kriege und Konflikte;Politische Prozesse außerhalb Deutschlands","","Ja, definitiv","Ja, Ich fühle mich ausreichend vorbereitet","","Ja, definitiv","Neutral"
"2022/06/23 9:50:41 AM OEZ","Weiblich","2","1","1","1","3","2","4","2","Jeder volljährige Bürger mit einer deutschen Staatsbürgerschaft","Der Bundespräsident","4 Jahre","Bundesverfassungsgericht;Bundesregierung;Bundesversammlung;Bundestag","Sie bestimmen zur Hälfte die Mitglieder des Bundestages","Vom Bundesrat mit 2/3 Mehrheit auf 6 Jahre","Angela Merkel","Die Bundesbürger per Direktwahl","Der Bundestag","Olaf Scholz","Ernennt/ Entlässt Richter des Bundesverfassungsgerichts","Prüft Gesetze auf potentielle Verfassungswidrigkeit","Vorsitz der Bundesregierung","Gesetzesinitative","Mitwirken in auswärtigen Angelegenheiten","Kanzler,-Zentral,-Abgeordnetenprinzip","8.Klasse - noch nicht ","8.Klasse","Habe ich noch nicht","Neutral","","","Wahlen in Deutschland;Politische Parteien in Deutschland;Politische Prozesse außerhalb Deutschlands","","Eher ja","Ja, Ich fühle mich ausreichend vorbereitet","","Ja, wahrscheinlich","Ja, eher gesteigert"
"2022/06/23 9:50:45 AM OEZ","Weiblich","4","4","3","3","4","3","3","5","Jeder Mensch, der möchte","Der Bundespräsident","4 Jahre","Bundesregierung;Bundestag","Sie ernennen den Präsidenten des Bundesverfassungsgerichtes","Vom Bundestag mit 50% Mehrheit auf 4 Jahre","Angela Merkel","Die Bundesbürger per Direktwahl","Der Bundestag","Olaf Scholz","Ernennt/ Entlässt Richter des Bundesverfassungsgerichts;Vorschlagen der Bundesminister;Löst den Bundestag auf","Prüft Gesetze auf potentielle Verfassungswidrigkeit","Vorsitz der Bundesregierung","Entscheidung über Bundeshaushalt;Wahl des Bundeskanzlers","Mitwirken in auswärtigen Angelegenheiten","Präsident,-Kollegial,-Kabinettsprinzip","8 klasse","8 klasse ","8 klasse ","Ja, eher interessiert","8 klasse ","8 klasse ","Kriege und Konflikte;Politische Prozesse außerhalb Deutschlands","","Eher ja","Ja, Ich fühle mich ausreichend vorbereitet","","Ja, wahrscheinlich","Neutral"
"2022/06/23 9:50:48 AM OEZ","Weiblich","2","3","2","3","3","4","2","4","Jeder volljährige Bürger mit einer deutschen Staatsbürgerschaft","Der Bundespräsident","4 Jahre","Bundespräsident;Bundesverfassungsgericht;Bundesregierung;Bundesrat","Sie ernennen den Präsidenten des Bundesverfassungsgerichtes","Vom Bundesrat mit 2/3 Mehrheit auf 6 Jahre","Angela Merkel","Die Bundesbürger per Direktwahl","Der Bundestag","Olaf Scholz","Ernennt/ Entlässt Richter des Bundesverfassungsgerichts;Ernennt den Bundeskanzler;Fertigt Gesetze aus","Prüft Gesetze auf potentielle Verfassungswidrigkeit;Maßstab bei der Rechtssprechung ist das Grundgesetz","Vorsitz der Bundesregierung;Ernennen der Bundesminister","Kontrolle der Regierung;Wahl des Bundespräsidenten;Wahl des Bundeskanzlers","Gesetzesinitiative","Präsident,-Kollegial,-Kabinettsprinzip","8.Klasse","Globalisierung","Ich finde, dass es ein sehr wichtiges Thema ist.","Neutral","","","Wahlen in Deutschland;Kriege und Konflikte","Nichts","Ja, definitiv","Ja, Ich fühle mich ausreichend vorbereitet","","Nein, eher nicht","Neutral"
"2022/06/23 9:51:04 AM OEZ","Weiblich","3","4","4","2","4","5","1","5","Jeder volljährige Bürger mit einer deutschen Staatsbürgerschaft","Der Bundeskanzler","4 Jahre","Bundespräsident;Bundeskanzler;Bundestag","Sie ernennen die Kabinettsmitglieder des Bundsrates","Vom Bundesrat mit 2/3 Mehrheit auf 6 Jahre","Angela Merkel","Die Bundesversammlung","Der Bundestag","Frank-Walter Steinmeier","Fertigt Gesetze aus","Prüft Gesetze auf potentielle Verfassungswidrigkeit","Vorsitz des Bundestages;Gegenzeichnung von Gesetzen;Vorsitz der Bundesregierung","Gesetzesinitative;Entscheidung über Bundeshaushalt","Mitwirken in auswärtigen Angelegenheiten","Kanzler,- Kollegial,- Ressortprinzip","bin 8te ","bin 8te","kp","Neutral","","","Wahlen in Deutschland;Kriege und Konflikte;Politische Prozesse außerhalb Deutschlands","Kriege und Konflikte außerhalb deutschlands","Ja, definitiv","Nein, Ich fühle mich eher unvorbereitet","","Ja, definitiv","Ja, definitiv"
"2022/06/23 9:51:05 AM OEZ","Weiblich","1","2","2","2","3","3","4","5","Jeder volljährige Bürger mit einer deutschen Staatsbürgerschaft","Der Bundeskanzler","4 Jahre","Bundesverfassungsgericht;Bundeskanzler;Bundestag","Sie ernennen den Präsidenten des Bundesverfassungsgerichtes","Vom Bundesrat mit 2/3 Mehrheit auf 6 Jahre","Angela Merkel","Die Bundesversammlung","Der Bundestag","Olaf Scholz","Ernennt/ Entlässt Richter des Bundesverfassungsgerichts;Vorschlagen der Bundesminister","Prüft Gesetze auf potentielle Verfassungswidrigkeit","Vorsitz des Bundestages","Gesetzesinitative;Wahl des Bundespräsidenten","Mitwirken in auswärtigen Angelegenheiten","Kanzler,-Zentral,-Abgeordnetenprinzip","8.klasse","dementsprechend nichts","8.klasse","Neutral",".","politik","Wahlen in Deutschland;Kriege und Konflikte","politik","Eher ja","Ja, Ich fühle mich ausreichend vorbereitet","","Nein, eher nicht","Neutral"
